match_id,minute,p,gold_adv,tower_adv,kills_adv,draft_logit,in_test
8730892695,3,0.307323,-1033,0,-2,-0.239088,1
8730892695,4,0.21131,-1561,0,-3,-0.239088,1
8730892695,5,0.252525,-1769,0,-4,-0.239088,1
8730892695,6,0.208333,-2834,0,-5,-0.239088,1
8730892695,7,0.19398,-3252,0,-7,-0.239088,1
8730892695,8,0.201036,-3545,0,-7,-0.239088,1
8730892695,9,0.19398,-3627,-1,-8,-0.239088,1
8730892695,10,0.111628,-4647,-2,-10,-0.239088,1
8730892695,11,0.042254,-6435,-3,-11,-0.239088,1
8730892695,12,0.031056,-6957,-3,-14,-0.239088,1
8730892695,13,0.017442,-9026,-3,-15,-0.239088,1
8730892695,14,0.017442,-10262,-3,-18,-0.239088,1
8730892695,15,0.006849,-12870,-3,-19,-0.239088,1
8730892695,16,0.015873,-12757,-3,-21,-0.239088,1
8730892695,17,0.015873,-13153,-4,-20,-0.239088,1
8730892695,18,0.003,-14037,-5,-25,-0.239088,1
8730892695,19,0.003,-18069,-6,-26,-0.239088,1
8730892695,20,0.003,-18068,-7,-30,-0.239088,1
8730892695,21,0.003,-20028,-8,-31,-0.239088,1
8730892695,22,0.003,-22495,-9,-33,-0.239088,1
8730892695,23,0.003,-22240,-9,-37,-0.239088,1
8731134498,0,0.489796,0,0,0,0.104413,1
8731134498,1,0.480438,-167,0,0,0.104413,1
8731134498,2,0.489796,26,0,0,0.104413,1
8731134498,3,0.495043,154,0,1,0.104413,1
8731134498,4,0.587828,519,0,1,0.104413,1
8731134498,5,0.634916,416,0,3,0.104413,1
8731134498,6,0.634916,767,0,3,0.104413,1
8731134498,7,0.549098,253,0,3,0.104413,1
8731134498,8,0.634916,676,0,5,0.104413,1
8731134498,9,0.66539,1096,1,5,0.104413,1
8731134498,10,0.526917,746,1,4,0.104413,1
8731134498,11,0.587828,1560,1,3,0.104413,1
8731134498,12,0.66539,1533,1,5,0.104413,1
8731134498,13,0.634916,2912,2,5,0.104413,1
8731134498,14,0.634916,3452,1,6,0.104413,1
8731134498,15,0.66539,3301,1,7,0.104413,1
8731134498,16,0.781479,3917,1,7,0.104413,1
8731134498,17,0.66539,3561,1,7,0.104413,1
8731134498,18,0.669951,4368,1,6,0.104413,1
8731134498,19,0.634916,2845,1,4,0.104413,1
8731134498,20,0.413562,451,0,1,0.104413,1
8731134498,21,0.378426,-1858,-1,1,0.104413,1
8731134498,22,0.307323,-2235,-1,-3,0.104413,1
8731134498,23,0.062718,-5651,-2,-3,0.104413,1
8731134498,24,0.111628,-7347,-2,-2,0.104413,1
8731134498,25,0.201036,-4308,-2,-6,0.104413,1
8731134498,26,0.062718,-7332,-4,-6,0.104413,1
8731134498,27,0.111628,-9212,-4,-7,0.104413,1
8731134498,28,0.062718,-9081,-4,-10,0.104413,1
8731134498,29,0.003,-11663,-4,-13,0.104413,1
8731134498,30,0.003,-15424,-5,-15,0.104413,1
8731310807,0,0.494898,0,0,1,0.0516453,1
8731310807,1,0.634916,447,0,1,0.0516453,1
8731310807,2,0.495043,125,0,1,0.0516453,1
8731310807,3,0.634916,692,0,1,0.0516453,1
8731310807,4,0.634916,1122,0,2,0.0516453,1
8731310807,5,0.66539,1638,0,3,0.0516453,1
8731310807,6,0.718062,1846,0,4,0.0516453,1
8731310807,7,0.700368,2805,0,3,0.0516453,1
8731310807,8,0.700368,2275,0,4,0.0516453,1
8731310807,9,0.66539,2343,0,5,0.0516453,1
8731310807,10,0.66539,2418,1,5,0.0516453,1
8731310807,11,0.669951,2906,2,6,0.0516453,1
8731310807,12,0.66539,3439,2,7,0.0516453,1
8731310807,13,0.634916,2917,2,6,0.0516453,1
8731310807,14,0.587828,2787,2,5,0.0516453,1
8731310807,15,0.494898,988,3,6,0.0516453,1
8731310807,16,0.587828,2523,3,8,0.0516453,1
8731310807,17,0.554795,3996,3,7,0.0516453,1
8731310807,18,0.471988,2775,3,5,0.0516453,1
8731310807,19,0.412844,-410,2,6,0.0516453,1
8731310807,20,0.378426,-1085,2,2,0.0516453,1
8731310807,21,0.272171,-3657,1,1,0.0516453,1
8731310807,22,0.201036,-4727,1,1,0.0516453,1
8731310807,23,0.19398,-4815,1,0,0.0516453,1
8731310807,24,0.130542,-6463,1,-2,0.0516453,1
8731310807,25,0.094293,-8691,1,-1,0.0516453,1
8731310807,26,0.062718,-8713,0,-5,0.0516453,1
8731310807,27,0.031056,-10968,-2,-6,0.0516453,1
8731310807,28,0.020992,-12759,-2,-10,0.0516453,1
8731310807,29,0.017442,-15754,-3,-11,0.0516453,1
8731310807,30,0.017442,-17555,-3,-12,0.0516453,1
8731310807,31,0.017442,-17045,-3,-14,0.0516453,1
8731310807,32,0.017442,-18009,-3,-16,0.0516453,1
8731310807,33,0.003,-20457,-6,-19,0.0516453,1
8731310807,34,0.003,-27894,-7,-20,0.0516453,1
