match_id,minute,p,gold_adv,tower_adv,kills_adv,draft_logit,in_test
8943202720,49,0.950907,17809,4,8,0.837567,1
8943202720,49,0.979101,19566,4,9,0.837567,1
8943235603,14,0.891185,6104,2,10,0.0224769,1
8943235603,14,0.891185,6375,2,10,0.0224769,1
8943235603,15,0.874101,5411,2,9,0.0224769,1
8943235603,15,0.813417,5198,2,9,0.0224769,1
8943235603,15,0.794004,5065,1,9,0.0224769,1
8943235603,16,0.665984,4336,1,8,0.0224769,1
8943235603,16,0.629745,4045,1,9,0.0224769,1
8943235603,16,0.862944,5535,1,10,0.0224769,1
8943235603,16,0.874101,6009,1,10,0.0224769,1
8943235603,17,0.891185,7178,1,11,0.0224769,1
8943235603,17,0.891185,7027,1,11,0.0224769,1
8943235603,17,0.891185,7380,1,12,0.0224769,1
8943235603,17,0.928315,8535,1,13,0.0224769,1
8943235603,18,0.928315,8528,1,13,0.0224769,1
8943235603,18,0.928315,8586,1,13,0.0224769,1
8943235603,18,0.928315,9191,1,13,0.0224769,1
8943235603,18,0.928315,9146,2,13,0.0224769,1
8943235603,19,0.949153,9668,2,14,0.0224769,1
8943235603,19,0.949153,10293,2,15,0.0224769,1
8943235603,19,0.949153,10228,2,15,0.0224769,1
8943235603,19,0.979101,10089,2,15,0.0224769,1
8943235603,20,0.960396,9560,2,15,0.0224769,1
8943235603,20,0.972028,9508,2,15,0.0224769,1
8943235603,20,0.979101,9373,2,16,0.0224769,1
8943235603,20,0.979101,9584,2,17,0.0224769,1
8943235603,21,0.979101,9066,2,17,0.0224769,1
8943235603,21,0.979101,8874,2,17,0.0224769,1
8943235603,21,0.950907,7924,2,17,0.0224769,1
8943235603,21,0.891185,6383,2,16,0.0224769,1
8943235603,22,0.874101,6218,2,16,0.0224769,1
8943235603,22,0.874101,6415,2,16,0.0224769,1
8943235603,22,0.874101,5764,2,16,0.0224769,1
8943235603,22,0.813417,6057,2,16,0.0224769,1
8943235603,23,0.813417,6315,2,16,0.0224769,1
8943235603,23,0.813417,5987,2,16,0.0224769,1
8943235603,23,0.891185,7697,2,16,0.0224769,1
8943235603,23,0.891185,8423,2,16,0.0224769,1
8943235603,24,0.891185,8235,2,16,0.0224769,1
8943235603,24,0.794004,7068,2,15,0.0224769,1
8943235603,24,0.794004,7010,2,15,0.0224769,1
8943235603,24,0.759223,6850,2,15,0.0224769,1
8943235603,25,0.750903,6554,2,15,0.0224769,1
8943235603,25,0.742373,5791,2,15,0.0224769,1
8943235603,25,0.672048,5602,2,15,0.0224769,1
8943235603,25,0.663366,5684,2,15,0.0224769,1
8943235603,26,0.665984,6338,2,15,0.0224769,1
8943235603,26,0.672048,7584,2,15,0.0224769,1
8943235603,26,0.672048,7137,2,15,0.0224769,1
8943235603,26,0.742373,6864,2,15,0.0224769,1
8943235603,27,0.874101,8290,2,17,0.0224769,1
8943235603,27,0.891185,8662,2,17,0.0224769,1
8943235603,27,0.862944,7707,2,17,0.0224769,1
8943235603,27,0.813417,7245,2,17,0.0224769,1
8943235603,28,0.813417,7478,2,17,0.0224769,1
8943235603,28,0.862944,8031,2,17,0.0224769,1
8943235603,28,0.813417,7281,2,17,0.0224769,1
8943235603,29,0.813417,7182,2,17,0.0224769,1
8943235603,29,0.794004,6838,2,17,0.0224769,1
8943235603,29,0.891185,8271,2,17,0.0224769,1
8943235603,29,0.891185,8614,2,17,0.0224769,1
8943235603,30,0.862944,8018,2,16,0.0224769,1
8943235603,30,0.891185,8758,2,18,0.0224769,1
8943235603,30,0.928315,9981,2,19,0.0224769,1
8943235603,30,0.90099,8958,2,19,0.0224769,1
8943235603,31,0.90099,9107,2,19,0.0224769,1
8943235603,31,0.90099,9457,2,19,0.0224769,1
8943235603,31,0.928315,9601,2,19,0.0224769,1
8943235603,31,0.928315,9376,2,19,0.0224769,1
8943235603,32,0.950907,9917,3,20,0.0224769,1
8943235603,32,0.891185,10277,3,20,0.0224769,1
8943235603,32,0.950907,11057,3,21,0.0224769,1
8943235603,32,0.950907,11557,3,21,0.0224769,1
8943235603,33,0.949153,11021,3,21,0.0224769,1
8943235603,33,0.949153,10355,3,21,0.0224769,1
8943235603,33,0.929577,10130,3,21,0.0224769,1
8943235603,33,0.949153,10474,3,21,0.0224769,1
8943235603,34,0.950907,10811,4,21,0.0224769,1
8943235603,34,0.950907,11437,4,21,0.0224769,1
8943235603,34,0.950907,11049,4,21,0.0224769,1
8943235603,34,0.950907,11621,4,21,0.0224769,1
8943235603,35,0.950907,11374,4,21,0.0224769,1
8943235603,35,0.949153,11399,4,21,0.0224769,1
8943235603,35,0.950907,12151,4,22,0.0224769,1
8943235603,35,0.950907,12504,4,22,0.0224769,1
8943235603,36,0.950907,12712,4,22,0.0224769,1
8943235603,36,0.950907,12795,4,22,0.0224769,1
8943235603,36,0.972028,13854,4,23,0.0224769,1
8943235603,36,0.991736,16459,4,23,0.0224769,1
8943235603,37,0.979101,16309,4,23,0.0224769,1
8943235603,37,0.979101,16697,4,23,0.0224769,1
8943235603,37,0.991736,17076,4,23,0.0224769,1
8943235603,37,0.991736,17659,4,23,0.0224769,1
8943235603,38,0.979101,17306,4,23,0.0224769,1
8943235603,38,0.991736,18543,4,23,0.0224769,1
8943235603,38,0.991736,18522,4,23,0.0224769,1
8943235603,38,0.991736,21280,4,24,0.0224769,1
8943235603,39,0.991736,21871,4,25,0.0224769,1
8943235603,39,0.979101,16642,4,23,0.0224769,1
8943235603,39,0.929577,13935,4,22,0.0224769,1
8943235603,39,0.891185,12920,4,22,0.0224769,1
8943235603,40,0.891185,10102,3,22,0.0224769,1
8943235603,40,0.891185,9238,3,22,0.0224769,1
8943235603,40,0.862944,7558,2,22,0.0224769,1
8943235603,40,0.862944,8056,2,22,0.0224769,1
8943235603,41,0.891185,8713,2,22,0.0224769,1
8943235603,41,0.891185,9325,2,22,0.0224769,1
8943235603,41,0.813417,9865,2,22,0.0224769,1
8943235603,41,0.813417,10163,2,22,0.0224769,1
8943235603,42,0.813417,10246,2,22,0.0224769,1
8943235603,42,0.891185,11764,2,24,0.0224769,1
8943235603,42,0.891185,14058,2,25,0.0224769,1
8943235603,43,0.891185,14795,2,25,0.0224769,1
8943235603,43,0.891185,14510,2,25,0.0224769,1
8943235603,43,0.928315,15983,2,25,0.0224769,1
8943235603,43,0.928315,15967,2,25,0.0224769,1
