ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,radiant_t3_lost,dire_t3_lost,t3_adv,level_adv,lh_adv,dn_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,p_stratz,stratz_time,model
1786732867,8945661203,90290938180414475,5,1776,0.382791,29.6,-827,,,3,2,-1,0,-0.0663782,-1,,-1076,-0.0126595,0,0,0,1,-37,-22,-0.00626624,,482,128,-827,131977,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786732884,8945661203,90290938180414475,5,1794,0.379151,29.9,-998,,,3,2,-1,0,-0.0663782,-1,,-1437,-0.0171255,0,0,0,2,-37,-22,-0.00745822,,-859,128,-998,133812,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786732901,8945661203,90290938180414475,5,1810,0.390361,30.1667,-715,,,3,2,-1,0,-0.0663782,-1,,-1447,-0.0182403,0,0,0,2,-31,-22,-0.00526475,,-662,128,-715,135809,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786732917,8945661203,90290938180414475,5,1827,0.380865,30.45,-839,,,3,2,-1,0,-0.0663782,-1,,-1448,-0.0175336,0,0,0,2,-33,-22,-0.00612512,,-704,128,-839,136977,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786732934,8945661203,90290938180414475,5,1844,0.404309,30.7333,136,975,,3,2,-1,0,-0.0663782,-1,,-833,-0.0125839,0,0,0,1,-20,-22,0.000979686,,-608,128,136,138820,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786732951,8945661203,90290938180414475,5,1861,0.422545,31.0167,1391,2206,,3,2,-1,0,-0.0663782,1,,-1204,-0.0229393,0,0,0,4,-34,-22,0.00987653,,1331,128,1391,140839,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786732968,8945661203,90290938180414475,5,1877,0.448387,31.2833,2957,3696,,3,2,-1,0,-0.0663782,2,,-506,-0.0192515,0,0,0,6,-29,-22,0.0206863,,2133,128,2957,142945,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786732984,8945661203,90290938180414475,5,1894,0.451884,31.5667,3273,4150,,3,2,-1,0,-0.0663782,2,,-402,-0.0188335,0,0,0,6,-23,-22,0.0226748,,3179,128,3273,144345,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733001,8945661203,90290938180414475,5,1910,0.569399,31.8333,4804,3502,,3,3,0,0,-0.0663782,2,,98,-0.0177592,0,0,0,5,-23,-22,0.0327426,,3455,128,4804,146720,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733017,8945661203,90290938180414475,5,1927,0.597568,32.1167,5595,4204,,3,3,0,0,-0.0663782,2,,568,-0.0144731,0,0,0,5,-16,-22,0.0378299,,4936,128,5595,147899,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733034,8945661203,90290938180414475,5,1943,0.599239,32.3833,5435,2478,,3,3,0,0,-0.0663782,2,,880,-0.00937739,0,0,0,4,-26,-22,0.0362563,,5453,128,5435,149905,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733050,8945661203,90290938180414475,5,1960,0.497909,32.6667,3827,434,,3,3,0,0,-0.0663782,1,,775,-0.0044221,0,0,0,1,-26,-22,0.0253224,,5544,128,3827,151131,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733065,8945661203,90290938180414475,5,1975,0.501661,32.9167,3913,-947,,3,3,0,0,-0.0663782,1,,675,-0.00593652,0,0,0,2,-21,-22,0.0257399,,3746,128,3913,152021,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733082,8945661203,90290938180414475,5,1992,0.436579,33.2,2492,-3103,,3,3,0,0,-0.0663782,0,,-34,-0.00964541,0,0,0,0,-12,-22,0.0162373,,2273,128,2492,153474,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733099,8945661203,90290938180414475,5,2008,0.436287,33.4667,2192,-3243,,3,3,0,0,-0.0663782,0,,-491,-0.0143174,0,0,0,0,-19,-22,0.0141119,,2344,128,2192,155330,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733116,8945661203,90290938180414475,5,2025,0.422197,33.75,1228,-2499,,3,3,0,0,-0.0663782,0,,-824,-0.0149595,0,0,0,0,-23,-22,0.00783783,,1996,128,1228,156676,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733133,8945661203,90290938180414475,5,2042,0.419991,34.0333,854,-3150,,3,3,0,0,-0.0663782,0,,-996,-0.0156829,0,0,0,-1,-34,-22,0.00541171,,1401,128,854,157806,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733150,8945661203,90290938180414475,5,2059,0.424040,34.3167,727,-1584,,3,3,0,0,-0.0663782,1,,-1171,-0.0169962,0,0,0,2,-23,-22,0.00450035,,1066,128,727,161543,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733166,8945661203,90290938180414475,5,2076,0.485875,34.6,678,-1084,301,3,3,0,0,-0.0663782,1,2,-1263,-0.0178481,0,0,0,2,-28,-22,0.00417087,0.00208742,815,128,678,162556,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733183,8945661203,90290938180414475,5,2092,0.485451,34.8667,955,-119,413.311,3,3,0,0,-0.0663782,1,2,-1098,-0.0166636,0,0,0,3,-24,-23,0.00583773,0.00284683,835,128,955,163591,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733200,8945661203,90290938180414475,5,2109,0.594418,35.15,2138,1322,598.605,3,3,0,0,-0.0663782,2,3,-963,-0.0188753,0,0,0,4,-29,-23,0.0129779,0.00386054,1020,128,2138,164742,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733217,8945661203,90290938180414475,5,2126,0.749229,35.4333,5297,4432,1189.34,3,3,0,0,-0.0663782,4,5,287,-0.0139093,0,0,0,4,-30,-22,0.031649,0.00729997,3073,128,5297,167367,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733234,8945661203,90290938180414475,5,2143,0.799142,35.7167,6627,5709,1340.33,3,4,1,0,-0.0663782,4,5,638,-0.0138661,0,0,0,4,-19,-22,0.0391544,0.00794443,5032,128,6627,169253,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733250,8945661203,90290938180414475,5,2159,0.815573,35.9833,6882,5960,1151.68,3,4,1,0,-0.0663782,4,4,827,-0.0123292,0,0,0,5,-14,-22,0.0403788,0.00648571,6542,128,6882,170436,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733267,8945661203,90290938180414475,5,2176,0.796509,36.2667,8175,6228,1062.35,3,4,1,0,-0.0663782,5,3,1101,-0.0132127,0,0,0,7,-10,-22,0.0476818,0.00554785,6920,128,8175,171449,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733283,8945661203,90290938180414475,5,2194,0.887459,36.5667,10906,5666,1479.34,3,5,2,0,-0.0663782,6,4,1664,-0.0150457,0,0,0,7,-3,-22,0.0626235,0.00769111,7205,128,10906,174152,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733300,8945661203,90290938180414475,5,2210,0.902228,36.8333,12382,5386,1494.44,3,5,2,0,-0.0663782,7,5,2069,-0.0149998,0,0,0,7,7,-22,0.0705736,0.00743514,12357,128,12382,175448,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733317,8945661203,90290938180414475,5,2227,0.949165,37.1167,15127,8200,1906.4,3,7,4,1,-0.0663782,7,5,2860,-0.0142716,0,2,2,7,21,-22,0.0846848,0.009371,12726,128,15127,178627,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733334,8945661203,90290938180414475,5,2244,0.956094,37.4,16619,7577,2176.33,3,7,4,3,-0.0663782,7,5,3032,-0.0168097,0,2,2,7,17,-22,0.0914624,0.0106765,15240,128,16619,181703,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733350,8945661203,90290938180414475,5,2260,0.958333,37.6667,17531,6625,2536.33,3,7,4,4,-0.0663782,7,5,3325,-0.0165588,0,2,2,8,27,-22,0.0954905,0.0127214,15924,128,17531,183589,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733367,8945661203,90290938180414475,5,2277,0.966871,37.95,18397,6017,2878.6,3,7,4,4,-0.0663782,7,6,3575,-0.0163767,0,2,2,9,37,-22,0.09921,0.0145795,17688,128,18397,185435,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733384,8945661203,90290938180414475,5,2294,0.967006,38.2333,18148,2324,3110.46,3,7,4,4,-0.0663782,7,7,3410,-0.0171535,0,2,2,10,30,-23,0.0968606,0.0160179,18359,128,18148,187362,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733400,8945661203,90290938180414475,5,2310,0.968776,38.5,18646,2024,3203.88,3,7,4,4,-0.0663782,7,7,3510,-0.0175019,0,2,2,10,34,-23,0.0989766,0.0164599,18284,128,18646,188388,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733417,8945661203,90290938180414475,5,2327,0.977305,38.7833,21196,3712,3967.15,3,7,4,4,-0.0663782,9,9,3648,-0.0234533,0,2,2,12,30,-23,0.111577,0.0206104,18667,128,21196,189968,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733434,8945661203,90290938180414475,5,2344,0.976394,39.0667,21134,2757,4063.6,3,7,4,4,-0.0663782,9,9,3494,-0.0247488,0,2,2,11,25,-23,0.110727,0.0211118,21381,128,21134,190866,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786733450,8945661203,90290938180414475,5,2360,0.980897,39.3333,22356,3947,4581.91,3,9,6,4,-0.0663782,9,9,4248,-0.0201585,0,3,3,11,26,-23,0.115201,0.023792,21422,128,22356,194060,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
