ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,radiant_t3_lost,dire_t3_lost,t3_adv,level_adv,lh_adv,dn_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,p_stratz,stratz_time,model
1786724877,8945451316,90290928618308609,5,907,0.380325,15.1167,705,,,0,2,2,0,0.0516453,3,,1292,0.03993,0,0,0,-1,-48,35,0.0129081,,1394,128,705,54617,,,,,live_exact.pkl
1786724893,8945451316,90290928618308609,5,924,0.378426,15.4,-621,,,0,2,2,0,0.0516453,1,,977,0.0406415,0,0,0,-4,-43,35,-0.0109383,,419,128,-621,56773,,,,,live_exact.pkl
1786724910,8945451316,90290928618308609,5,940,0.296875,15.6667,-1962,,,0,2,2,0,0.0516453,-1,,647,0.0416795,0,0,0,-4,-44,35,-0.0338568,,-1962,128,-1962,57950,,,,,live_exact.pkl
1786724926,8945451316,90290928618308609,5,956,0.272171,15.9333,-2432,,,0,2,2,0,0.0516453,-1,,362,0.0364244,0,0,0,-5,-56,35,-0.041594,,-2322,128,-2432,58470,,,,,live_exact.pkl
1786724942,8945451316,90290928618308609,5,972,0.296875,16.2,-2464,-3169,,0,2,2,0,0.0516453,-1,,512,0.040792,0,0,0,-6,-59,35,-0.0412647,,-2576,128,-2464,59712,,,,,live_exact.pkl
1786724958,8945451316,90290928618308609,5,988,0.262069,16.4667,-2676,-2055,,1,2,1,0,0.0516453,-1,,332,0.0359325,0,0,0,-6,-61,35,-0.0436228,,-2420,128,-2676,61344,,,,,live_exact.pkl
1786724975,8945451316,90290928618308609,5,1005,0.296875,16.75,-2623,-620,,1,2,1,0,0.0516453,-2,,414,0.0368205,0,0,0,-6,-52,35,-0.0415801,,-2847,128,-2623,63083,,,,,live_exact.pkl
1786724991,8945451316,90290928618308609,5,1021,0.272171,17.0167,-3210,-907,,1,2,1,0,0.0516453,-3,,354,0.0393274,0,0,0,-6,-58,35,-0.0499782,,-3130,128,-3210,64228,,,,,live_exact.pkl
1786725008,8945451316,90290928618308609,5,1038,0.211310,17.3,-3680,-1135,,1,2,1,0,0.0516453,-3,,154,0.0366825,0,0,0,-6,-73,35,-0.0564608,,-3529,128,-3680,65178,,,,,live_exact.pkl
1786725024,8945451316,90290928618308609,5,1054,0.211310,17.5667,-3432,-401,,2,2,0,0,0.0516453,-2,,304,0.0377647,0,0,0,-7,-67,35,-0.0511536,,-3389,128,-3432,67092,,,,,live_exact.pkl
