ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,radiant_t3_lost,dire_t3_lost,t3_adv,level_adv,lh_adv,dn_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,model
1786633344,8943687609,90290773984805888,5,562,0.634916,9.36667,1660,,,0,0,0,0,0.14752,1,,743,0.0141741,0,0,0,0,31,-6,0.0504682,,1728,128,1660,32892,,,live_exact.pkl
1786633359,8943687609,90290773984805888,5,577,0.634916,9.61667,2058,,,0,0,0,0,0.14752,1,,969,0.019782,0,0,0,1,33,-7,0.0603095,,1929,128,2058,34124,,,live_exact.pkl
1786633375,8943687609,90290773984805888,5,592,0.634916,9.86667,1773,,,0,0,0,0,0.14752,1,,939,0.022785,0,0,0,0,23,-6,0.0505892,,1933,128,1773,35047,,,live_exact.pkl
1786633391,8943687609,90290773984805888,5,608,0.634916,10.1333,1825,,,0,0,0,0,0.14752,1,,1029,0.0263458,0,0,0,0,27,-5,0.0505834,,1904,128,1825,36079,,,live_exact.pkl
1786633406,8943687609,90290773984805888,5,623,0.634916,10.3833,2013,353,,0,0,0,0,0.14752,1,,1070,0.0248361,0,0,0,0,31,-2,0.0547323,,1957,128,2013,36779,,,live_exact.pkl
1786633421,8943687609,90290773984805888,5,639,0.634916,10.65,2243,185,,0,0,0,0,0.14752,1,,1158,0.0252402,0,0,0,1,34,-4,0.0592024,,2045,128,2243,37887,,,live_exact.pkl
1786633437,8943687609,90290773984805888,5,654,0.634916,10.9,2127,354,,0,0,0,0,0.14752,1,,1026,0.019435,0,0,0,2,30,-4,0.0548946,,2285,128,2127,38747,,,live_exact.pkl
1786633452,8943687609,90290773984805888,5,669,0.634916,11.15,2324,499,,0,0,0,0,0.14752,1,,1179,0.0236784,0,0,0,1,33,-4,0.058132,,2194,128,2324,39978,,,live_exact.pkl
1786633467,8943687609,90290773984805888,5,684,0.634916,11.4,2909,896,,0,1,1,0,0.14752,1,,1219,0.016226,0,0,0,0,30,-3,0.0701657,,2796,128,2909,41459,,,live_exact.pkl
1786633482,8943687609,90290773984805888,5,700,0.634916,11.6667,2658,415,,0,1,1,0,0.14752,1,,1053,0.0116443,0,0,0,0,25,-2,0.0625618,,3177,128,2658,42486,,,live_exact.pkl
1786633498,8943687609,90290773984805888,5,715,0.634916,11.9167,2202,75,,1,1,0,0,0.14752,1,,1012,0.0158738,0,0,0,-1,29,-2,0.0503406,,2269,128,2202,43742,,,live_exact.pkl
1786633513,8943687609,90290773984805888,5,730,0.634916,12.1667,2876,552,,1,1,0,0,0.14752,2,,1368,0.0218859,0,0,0,1,40,-1,0.0638175,,2267,128,2876,45066,,,live_exact.pkl
1786633528,8943687609,90290773984805888,5,746,0.634916,12.4333,2123,-786,,1,1,0,0,0.14752,2,,1238,0.0259425,0,0,0,0,30,-1,0.0463062,,2773,128,2123,45847,,,live_exact.pkl
1786633544,8943687609,90290773984805888,5,761,0.634916,12.6833,2690,32,,1,1,0,0,0.14752,3,,1484,0.0288715,0,0,0,2,32,-1,0.0579442,,2088,128,2690,46424,,,live_exact.pkl
1786633559,8943687609,90290773984805888,5,777,0.634916,12.95,2804,602,,1,1,0,0,0.14752,3,,1571,0.0300644,0,0,0,3,36,0,0.0592311,,2734,128,2804,47340,,,live_exact.pkl
1786633575,8943687609,90290773984805888,5,792,0.634916,13.2,2651,-225,,1,1,0,0,0.14752,3,,1716,0.0376939,0,0,0,3,35,-1,0.0553456,,2715,128,2651,47899,,,live_exact.pkl
1786633590,8943687609,90290773984805888,5,807,0.634916,13.45,1334,-789,,2,1,-1,0,0.14752,3,,1501,0.0437666,0,0,0,4,21,-1,0.0265949,,2261,128,1334,50160,,,live_exact.pkl
1786633606,8943687609,90290773984805888,5,823,0.634916,13.7167,1249,-1441,,2,1,-1,0,0.14752,3,,1526,0.0447673,0,0,0,1,16,-2,0.0242935,,1299,128,1249,51413,,,live_exact.pkl
1786633621,8943687609,90290773984805888,5,838,0.582902,13.9667,1244,-1560,,2,1,-1,0,0.14752,3,,1473,0.0418396,0,0,0,1,12,-4,0.0236637,,1404,128,1244,52570,,,live_exact.pkl
1786633636,8943687609,90290773984805888,5,854,0.634916,14.2333,1443,-1208,,2,1,-1,0,0.14752,3,,1668,0.0461604,0,0,0,1,18,-4,0.0269081,,1244,128,1443,53627,,,live_exact.pkl
1786633698,8943687609,90290773984805888,5,915,0.634916,15.25,1407,-36,-81.6938,2,1,-1,0,0.14752,3,2,1847,0.0500959,0,0,0,2,26,-4,0.0247637,-0.0050462,1374,128,1407,56817,,,live_exact.pkl
1786633713,8943687609,90290773984805888,5,930,0.587828,15.5,660,-783,-264.43,3,1,-2,0,0.14752,3,2,1601,0.0476914,0,0,0,1,33,-4,0.0112119,-0.00850562,1539,128,660,58866,,,live_exact.pkl
