ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,radiant_t3_lost,dire_t3_lost,t3_adv,level_adv,lh_adv,dn_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,p_stratz,stratz_time,model
1786889661,8948940790,90291036082500609,5,915,0.938083,15.25,10880,,,0,3,3,0,-0.212805,15,,4033,0.0411974,0,0,0,12,145,14,0.191065,,10479,128,10880,56944,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786889677,8948940790,90291036082500609,5,931,0.938810,15.5167,11654,,,0,3,3,0,-0.212805,16,,4002,0.0326633,0,0,0,13,149,14,0.201264,,10920,128,11654,57904,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786889694,8948940790,90291036082500609,5,948,0.940780,15.8,12400,,,0,3,3,0,-0.212805,16,,4330,0.0354989,0,0,0,13,158,14,0.208277,,11972,128,12400,59536,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786889712,8948940790,90291036082500609,5,965,0.945732,16.0833,12973,,,0,3,3,0,-0.212805,16,,4526,0.0364857,0,0,0,15,165,14,0.213692,,12422,128,12973,60709,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786889728,8948940790,90291036082500609,5,982,0.967040,16.3667,14220,,,0,4,4,0,-0.212805,16,,4765,0.0305828,0,0,0,16,176,14,0.226455,,14301,128,14220,62794,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786889746,8948940790,90291036082500609,5,999,0.967037,16.65,14224,,,0,4,4,0,-0.212805,16,,4726,0.0272354,0,0,0,15,178,14,0.222758,,14139,128,14224,63854,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786889763,8948940790,90291036082500609,5,1016,0.967394,16.9333,16137,,,1,5,4,2,-0.212805,16,,5221,0.0258473,0,1,1,16,188,14,0.239588,,14671,128,16137,67353,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786889780,8948940790,90291036082500609,5,1034,0.972925,17.2333,17600,,,1,6,5,2,-0.212805,17,,5852,0.0316675,0,1,1,17,187,14,0.254152,,16796,128,17600,69250,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786889797,8948940790,90291036082500609,5,1051,0.975019,17.5167,18311,,,1,7,6,2,-0.212805,17,,5997,0.0316492,0,1,1,16,182,14,0.257854,,18409,128,18311,71013,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786889815,8948940790,90291036082500609,6,1063,0.950353,17.7167,18495,,,,,,,-0.212805,17,,6282,0.0371521,,,,16,185,14,0.25835,,18552,128,18495,71589,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786889832,8948940790,90291036082500609,6,1063,0.950353,17.7167,18495,,,,,,,-0.212805,17,,6282,0.0371521,,,,16,185,14,0.25835,,18552,128,18495,71589,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786889847,8948940790,90291036082500609,6,1063,0.950353,17.7167,18495,,,,,,,-0.212805,17,,6282,0.0371521,,,,16,185,14,0.25835,,18552,128,18495,71589,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
