ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,radiant_t3_lost,dire_t3_lost,t3_adv,level_adv,lh_adv,dn_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,p_stratz,stratz_time,model
1786970790,8950579909,90291085265461254,5,1298,0.978050,21.6333,16308,,,1,6,5,0,0.404044,19,,5639,0.0289705,0,0,0,11,60,-8,0.189298,,15903,128,16308,86150,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786970806,8950579909,90291085265461254,5,1316,0.975089,21.9333,15035,,,1,7,6,1,0.404044,17,,4093,-0.00539227,0,1,1,9,58,-8,0.167949,,15281,128,15035,89521,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786970823,8950579909,90291085265461254,5,1333,0.975579,22.2167,15681,,,1,7,6,2,0.404044,17,,4289,-0.00521439,0,1,1,8,51,-8,0.171431,,15043,128,15681,91471,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786970840,8950579909,90291085265461254,5,1349,0.975825,22.4833,16161,,,1,7,6,2,0.404044,18,,4360,-0.00633254,0,1,1,9,48,-8,0.17453,,16137,128,16161,92597,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786970857,8950579909,90291085265461254,5,1366,0.974049,22.7667,14542,-1504,,1,7,6,2,0.404044,18,,4486,0.00814117,0,1,1,7,47,-8,0.153397,,16234,128,14542,94800,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786970873,8950579909,90291085265461254,5,1382,0.978344,23.0333,16977,1942,,1,7,6,2,0.404044,21,,5381,0.010398,0,1,1,10,54,-8,0.176551,,16070,128,16977,96159,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786970889,8950579909,90291085265461254,5,1399,0.978726,23.3167,17594,1443,,1,7,6,2,0.404044,21,,5696,0.0128412,0,1,1,10,66,-8,0.181225,,17096,128,17594,97084,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786970906,8950579909,90291085265461254,5,1415,0.979546,23.5833,17445,883,,1,7,6,2,0.404044,21,,5475,0.00920738,0,1,1,11,70,-8,0.177371,,17270,128,17445,98353,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786970923,8950579909,90291085265461254,5,1432,0.981345,23.8667,18732,4057,,1,8,7,3,0.404044,21,,5823,0.0069938,0,2,2,11,67,-8,0.186607,,17530,128,18732,100382,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786970940,8950579909,90291085265461254,5,1449,0.981339,24.15,18290,1312,,1,8,7,3,0.404044,21,,5478,0.00222929,0,2,2,11,64,-8,0.180225,,18405,128,18290,101484,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786970956,8950579909,90291085265461254,5,1466,0.981038,24.4333,18267,701,,1,8,7,3,0.404044,21,,5455,0.00267022,0,2,2,11,59,-9,0.177669,,18297,128,18267,102815,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786970973,8950579909,90291085265461254,5,1482,0.981110,24.7,19386,1819,,1,8,7,4,0.404044,22,,5800,0.00317909,0,2,2,11,50,-9,0.184313,,18594,128,19386,105180,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786970989,8950579909,90291085265461254,5,1499,0.981265,24.9833,21192,2460,,1,8,7,4,0.404044,25,,6485,0.00766571,0,2,2,14,44,-9,0.198353,,20112,128,21192,106840,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786971006,8950579909,90291085265461254,5,1515,0.981357,25.25,23180,4800,,1,9,8,4,0.404044,25,,6792,0.0040646,0,2,2,14,51,-9,0.211778,,21024,128,23180,109454,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
