ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,radiant_t3_lost,dire_t3_lost,t3_adv,level_adv,lh_adv,dn_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,p_stratz,stratz_time,model
1786903393,8949385238,90291045684956173,5,2061,0.558039,34.35,-335,,,4,5,1,0,0.420737,0,,-1685,-0.0195441,0,0,0,0,-107,22,-0.00206213,,-389,128,-335,162453,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786903409,8949385238,90291045684956173,5,2078,0.495343,34.6333,-1961,,,4,5,1,0,0.420737,-2,,-1662,-0.0132638,0,0,0,-2,-102,22,-0.0119019,,-655,128,-1961,164763,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786903425,8949385238,90291045684956173,5,2094,0.507359,34.9,-671,,,5,5,0,0,0.420737,0,,-1140,-0.0112386,0,0,0,0,-112,22,-0.00400231,,-837,128,-671,167653,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786903442,8949385238,90291045684956173,5,2111,0.586942,35.1833,1437,,,5,6,1,0,0.420737,0,,-755,-0.0140675,0,1,1,0,-109,22,0.0085526,,1491,128,1437,168019,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786903457,8949385238,90291045684956173,5,2126,0.602840,35.4333,1658,1993,,5,6,1,0,0.420737,0,,-647,-0.0134789,0,1,1,1,-105,22,0.00979384,,1342,128,1658,169290,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786903472,8949385238,90291045684956173,5,2141,0.619943,35.6833,2395,3268,,5,6,1,0,0.420737,0,,176,-0.00627261,0,1,1,0,-101,22,0.0141584,,1461,128,2395,169157,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786903488,8949385238,90291045684956173,5,2156,0.589294,35.9333,1035,1777,,5,6,1,0,0.420737,0,,-610,-0.0107791,0,1,1,1,-101,23,0.00611157,,2370,128,1035,169351,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786903505,8949385238,90291045684956173,5,2174,0.570897,36.2333,1142,-163,,5,7,2,0,0.420737,0,,-515,-0.0098679,0,1,1,1,-108,23,0.00664147,,816,128,1142,171950,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786903522,8949385238,90291045684956173,5,2190,0.565681,36.5,793,-865,,5,7,2,0,0.420737,0,,-631,-0.00991939,0,1,1,1,-113,23,0.0045618,,1044,128,793,173835,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786903537,8949385238,90291045684956173,5,2206,0.565505,36.7667,442,-1766,,5,7,2,1,0.420737,-1,,-490,-0.00702052,0,1,1,0,-105,23,0.00250607,,679,128,442,176372,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786903553,8949385238,90291045684956173,5,2221,0.570220,37.0167,739,-96,,5,7,2,1,0.420737,-1,,-74,-0.00323984,0,1,1,-1,-105,23,0.00414961,,389,128,739,178089,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786903568,8949385238,90291045684956173,5,2236,0.567144,37.2667,540,-1169,,5,7,2,1,0.420737,-1,,58,-0.00110247,0,1,1,0,-104,23,0.00301902,,-870,128,540,178866,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786903584,8949385238,90291045684956173,5,2252,0.604675,37.5333,377,-422,,5,7,2,2,0.420737,-2,,455,0.00382591,0,1,1,-1,-105,23,0.00208482,,261,128,377,180831,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786903599,8949385238,90291045684956173,5,2268,0.601227,37.8,-89,-441,,5,7,2,2,0.420737,-2,,677,0.00771109,0,1,1,-1,-112,23,-0.000488332,,293,128,-89,182253,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786903615,8949385238,90291045684956173,5,2283,0.613768,38.05,-294,1021,,5,7,2,2,0.420737,-2,,677,0.00831896,0,1,1,-3,-121,23,-0.0016058,,-84,128,-294,183086,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786903631,8949385238,90291045684956173,5,2298,0.598575,38.3,-24,-482,,5,7,2,2,0.420737,-2,,1056,0.0115182,0,1,1,-3,-119,23,-0.000130039,,-335,128,-24,184560,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786903646,8949385238,90291045684956173,5,2314,0.616908,38.5667,593,210,,5,7,2,2,0.420737,-2,,1427,0.0134851,0,1,1,-2,-108,24,0.00318131,,74,128,593,186401,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786903663,8949385238,90291045684956173,5,2332,0.616350,38.8667,221,240,,5,7,2,2,0.420737,-2,,1427,0.0145905,0,1,1,-2,-120,24,0.00118228,,500,128,221,186927,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
