ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,radiant_t3_lost,dire_t3_lost,t3_adv,level_adv,lh_adv,dn_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,model
1786628765,8943466067,90290766657712134,5,3039,0.665390,50.65,6841,,,6,6,0,0,0.0230535,7,,4793,0.0239116,0,0,0,5,-17,5,0.0275993,,7715,128,6841,247869,10150538,5017210,exact_b.pkl
1786628780,8943466067,90290766657712134,5,3055,0.634916,50.9167,5852,,,6,6,0,0,0.0230535,7,,4478,0.0234117,0,0,0,6,-28,5,0.0235671,,7131,128,5852,248312,10150538,5017210,exact_b.pkl
1786628795,8943466067,90290766657712134,5,3070,0.665390,51.1667,6298,,,6,6,0,0,0.0230535,7,,4429,0.0219967,0,0,0,6,-18,5,0.0252585,,6473,128,6298,249342,10150538,5017210,exact_b.pkl
1786628811,8943466067,90290766657712134,5,3085,0.665390,51.4167,6512,,,6,6,0,0,0.0230535,7,,4237,0.0199234,0,0,0,6,-16,5,0.0260226,,6110,128,6512,250244,10150538,5017210,exact_b.pkl
1786628826,8943466067,90290766657712134,5,3101,0.634916,51.6833,5761,-1080,,6,6,0,0,0.0230535,7,,4423,0.0229127,0,0,0,4,-26,5,0.0228908,,6178,128,5761,251673,10150538,5017210,exact_b.pkl
1786628841,8943466067,90290766657712134,5,3116,0.634916,51.9333,6285,433,,6,6,0,0,0.0230535,7,,4280,0.0204713,0,0,0,3,-21,5,0.0248092,,5821,128,6285,253333,10150538,5017210,exact_b.pkl
1786628857,8943466067,90290766657712134,5,3131,0.634916,52.1833,5214,-1084,,6,6,0,0,0.0230535,7,,4007,0.0204744,0,0,0,3,-29,5,0.0204589,,5831,128,5214,254852,10150538,5017210,exact_b.pkl
1786628872,8943466067,90290766657712134,5,3146,0.634916,52.4333,5049,-1463,,6,6,0,0,0.0230535,7,,4275,0.0227249,0,0,0,3,-38,5,0.0196966,,6101,128,5049,256339,10150538,5017210,exact_b.pkl
1786628887,8943466067,90290766657712134,5,3162,0.587828,52.7,4670,-1091,,6,6,0,0,0.0230535,7,,4275,0.0234529,0,0,0,3,-45,5,0.0181363,,5082,128,4670,257494,10150538,5017210,exact_b.pkl
1786628903,8943466067,90290766657712134,5,3177,0.554795,52.95,4502,-1783,,6,6,0,0,0.0230535,7,,4275,0.0237717,0,0,0,3,-47,5,0.0174542,,5137,128,4502,257932,10150538,5017210,exact_b.pkl
1786628918,8943466067,90290766657712134,5,3192,0.669951,53.2,8888,3674,,6,6,0,0,0.0230535,8,,5014,0.0201707,0,0,0,4,-44,5,0.0345928,,4577,128,8888,256932,10150538,5017210,exact_b.pkl
1786628933,8943466067,90290766657712134,5,3208,0.669951,53.4667,9280,4231,,6,6,0,0,0.0230535,8,,6471,0.030608,0,0,0,6,-37,5,0.0359539,,6659,128,9280,258108,10150538,5017210,exact_b.pkl
1786628948,8943466067,90290766657712134,5,3223,0.634916,53.7167,5130,460,,6,6,0,0,0.0230535,8,,5477,0.031519,0,0,0,5,-49,5,0.0197604,,8960,128,5130,259610,10150538,5017210,exact_b.pkl
1786628964,8943466067,90290766657712134,5,3238,0.669951,53.9667,10105,5603,,6,6,0,0,0.0230535,10,,5831,0.0243043,0,0,0,7,-44,5,0.0393204,,8856,128,10105,256991,10150538,5017210,exact_b.pkl
1786628979,8943466067,90290766657712134,5,3253,0.669951,54.2167,11238,2350,,6,6,0,0,0.0230535,11,,5951,0.02282,0,0,0,8,-47,5,0.04357,,5404,128,11238,257930,10150538,5017210,exact_b.pkl
1786628994,8943466067,90290766657712134,5,3269,0.718062,54.4833,12730,3450,,6,6,0,0,0.0230535,11,,6902,0.026727,0,0,0,8,-19,5,0.048963,,10547,128,12730,259992,10150538,5017210,exact_b.pkl
1786629010,8943466067,90290766657712134,5,3284,0.718062,54.7333,13687,8557,,6,6,0,0,0.0230535,11,,7489,0.0290066,0,0,0,8,-18,5,0.0521499,,11218,128,13687,262455,10150538,5017210,exact_b.pkl
1786629025,8943466067,90290766657712134,5,3299,0.718062,54.9833,15133,5028,,6,6,0,0,0.0230535,11,,7928,0.0291932,0,0,0,9,0,5,0.0572589,,11849,128,15133,264291,10150538,5017210,exact_b.pkl
1786629040,8943466067,90290766657712134,5,3315,0.718062,55.25,15321,4083,,6,6,0,0,0.0230535,11,,7928,0.0287904,0,0,0,9,7,5,0.0578572,,14294,128,15321,264807,10150538,5017210,exact_b.pkl
1786629055,8943466067,90290766657712134,5,3330,0.718062,55.5,15315,2585,,6,6,0,0,0.0230535,11,,7928,0.0287858,0,0,0,9,1,5,0.0576573,,15125,128,15315,265621,10150538,5017210,exact_b.pkl
1786629071,8943466067,90290766657712134,5,3345,0.915994,55.75,16702,3015,1933.53,6,7,1,1,0.0230535,11,4,8143,0.0275406,0,1,1,9,6,5,0.0622837,0.00680087,15377,128,16702,268160,10150538,5017210,exact_b.pkl
1786629086,8943466067,90290766657712134,5,3361,0.915994,56.0167,16594,1461,2106.27,6,7,1,1,0.0230535,11,4,7953,0.0262546,0,1,1,9,10,5,0.0615523,0.00744807,15996,128,16594,269592,10150538,5017210,exact_b.pkl
1786629101,8943466067,90290766657712134,5,3376,0.910959,56.2667,15774,453,1858.04,6,7,1,1,0.0230535,11,4,7552,0.0246952,0,1,1,9,8,5,0.0584677,0.00651161,16919,128,15774,269790,10150538,5017210,exact_b.pkl
1786629117,8943466067,90290766657712134,5,3391,0.915994,56.5167,16673,1358,1992.35,6,7,1,1,0.0230535,11,4,7759,0.0243898,0,1,1,8,12,5,0.0613847,0.00693374,16577,128,16673,271615,10150538,5017210,exact_b.pkl
1786629132,8943466067,90290766657712134,5,3406,0.915994,56.7667,16667,-35,2145.44,6,7,1,1,0.0230535,11,4,7175,0.0198103,0,1,1,8,14,5,0.0609203,0.00748121,16298,128,16667,273587,10150538,5017210,exact_b.pkl
