ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,radiant_t3_lost,dire_t3_lost,t3_adv,level_adv,lh_adv,dn_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,p_stratz,stratz_time,model
1786825251,8947582185,90290995490264083,5,2776,0.888091,46.2667,24943,,,6,8,2,2,0.123194,13,,9164,0.0172756,0,2,2,15,250,2,0.116049,,23304,128,24943,214935,10221661,10223293,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786825268,8947582185,90290995490264083,5,2793,0.896257,46.55,28980,,,6,8,2,4,0.123194,15,,9678,0.0111509,0,2,2,16,255,2,0.133088,,25016,128,28980,217750,10221661,10223293,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786825285,8947582185,90290995490264083,5,2810,0.896257,46.8333,29002,,,6,8,2,4,0.123194,15,,9910,0.0131212,0,2,2,16,256,2,0.132737,,26871,128,29002,218492,10221661,10223293,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786825302,8947582185,90290995490264083,5,2826,0.907993,47.1,33133,9793,,6,8,2,4,0.123194,16,,10813,0.00878348,0,2,2,16,266,2,0.151934,,29031,128,33133,218075,10221661,10223293,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786825318,8947582185,90290995490264083,5,2844,0.937932,47.4,35504,10561,,6,9,3,5,0.123194,17,,11588,0.00927813,0,3,3,17,268,2,0.160836,,32186,128,35504,220746,10221661,10223293,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786825335,8947582185,90290995490264083,5,2861,0.942771,47.6833,39563,10583,,6,9,3,6,0.123194,19,,13226,0.0136914,0,3,3,19,277,2,0.177498,,34948,128,39563,222893,10221661,10223293,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786825352,8947582185,90290995490264083,6,2862,0.946902,47.7,40473,11346,,,,,,0.123194,19,,13371,0.0127079,,,,19,278,2,0.180818,,37880,128,40473,223833,10221661,10223293,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
