ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,radiant_t3_lost,dire_t3_lost,t3_adv,level_adv,lh_adv,dn_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,p_stratz,stratz_time,model
1786893444,8949056683,90291038239480845,5,1765,0.331722,29.4167,-4017,,,3,2,-1,0,0.0829911,-12,,-1546,-0.00513738,0,0,0,-10,-40,12,-0.0297109,,-3201,128,-4017,135203,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893461,8949056683,90291038239480845,5,1782,0.329130,29.7,-4055,,,3,2,-1,0,0.0829911,-12,,-1164,0.000645247,0,0,0,-9,-40,12,-0.0296169,,-4045,128,-4055,136915,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893477,8949056683,90291038239480845,5,1799,0.314976,29.9833,-4796,,,3,2,-1,0,0.0829911,-12,,-1112,0.00468323,0,0,0,-9,-40,12,-0.0343415,,-4463,128,-4796,139656,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893494,8949056683,90291038239480845,5,1815,0.312249,30.25,-5016,,,3,2,-1,0,0.0829911,-12,,-1191,0.00455998,0,0,0,-9,-43,12,-0.0356432,,-4716,128,-5016,140728,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893509,8949056683,90291038239480845,5,1830,0.305129,30.5,-5108,-1091,,3,2,-1,0,0.0829911,-12,,-1273,0.00385706,0,0,0,-9,-42,12,-0.0359015,,-5082,128,-5108,142278,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893526,8949056683,90291038239480845,5,1847,0.291574,30.7833,-5338,-670,,3,2,-1,0,0.0829911,-12,,-1587,0.000264359,0,0,0,-9,-50,12,-0.0370519,,-5158,128,-5338,144068,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893543,8949056683,90291038239480845,5,1864,0.218730,31.0667,-5981,-1185,,4,2,-2,0,0.0829911,-12,,-1938,-0.00202518,0,0,0,-9,-56,12,-0.0409178,,-5545,128,-5981,146171,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893559,8949056683,90291038239480845,5,1881,0.204632,31.35,-6649,-1634,,4,2,-2,0,0.0829911,-12,,-1970,0.000145814,0,0,0,-10,-76,12,-0.0450557,,-6151,128,-6649,147573,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893577,8949056683,90291038239480845,5,1898,0.198815,31.6333,-6092,-734,,5,2,-3,0,0.0829911,-12,,-1246,0.00731276,0,0,0,-9,-63,12,-0.0408514,,-6350,128,-6092,149126,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893592,8949056683,90291038239480845,5,1913,0.189938,31.8833,-6284,-946,,5,2,-3,0,0.0829911,-12,,-1155,0.00920802,0,0,0,-11,-72,12,-0.0415718,,-6056,128,-6284,151160,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893607,8949056683,90291038239480845,5,1928,0.185424,32.1333,-6928,-819,,5,2,-3,0,0.0829911,-13,,-1380,0.00856264,0,0,0,-11,-71,12,-0.0453902,,-6841,128,-6928,152632,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893624,8949056683,90291038239480845,5,1945,0.185878,32.4167,-6960,-311,,5,2,-3,0,0.0829911,-13,,-1542,0.0065003,0,0,0,-11,-69,12,-0.0450421,,-6948,128,-6960,154522,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893641,8949056683,90291038239480845,5,1963,0.159081,32.7167,-9143,-3111,,5,2,-3,0,0.0829911,-14,,-1542,0.0143858,0,0,0,-12,-80,12,-0.0580372,,-6953,128,-9143,157537,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893658,8949056683,90291038239480845,5,1980,0.141649,33,-9752,-3505,,6,2,-4,0,0.0829911,-14,,-1538,0.0163934,0,0,0,-12,-76,12,-0.0608564,,-9105,128,-9752,160246,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893675,8949056683,90291038239480845,5,1997,0.140929,33.2833,-10872,-3833,,6,2,-4,0,0.0829911,-15,,-1881,0.0162504,0,0,0,-13,-87,12,-0.0667526,,-10056,128,-10872,162870,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893692,8949056683,90291038239480845,5,2014,0.107446,33.5667,-11506,-4754,,7,2,-5,0,0.0829911,-15,,-2028,0.0166057,1,0,-1,-13,-77,12,-0.0697257,,-10669,128,-11506,165018,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893707,8949056683,90291038239480845,5,2029,0.080252,33.8167,-14326,-5183,,7,2,-5,-2,0.0829911,-15,,-2501,0.0207597,1,0,-1,-13,-85,12,-0.0860937,,-10947,128,-14326,166400,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893724,8949056683,90291038239480845,5,2046,0.042102,34.1,-18217,-8257,,7,2,-5,-2,0.0829911,-18,,-3478,0.022809,1,0,-1,-16,-92,12,-0.107698,,-15445,128,-18217,169149,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893741,8949056683,90291038239480845,5,2063,0.029517,34.3833,-20894,-9968,,8,2,-6,-4,0.0829911,-18,,-4106,0.0240834,2,0,-2,-16,-102,12,-0.121329,,-19216,128,-20894,172210,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893758,8949056683,90291038239480845,5,2079,0.010719,34.65,-22819,-11433,-3716.41,10,2,-8,-4,0.0829911,-18,-6,-4396,0.0265458,2,0,-2,-16,-109,12,-0.130767,-0.019972,-20852,128,-22819,174501,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893775,8949056683,90291038239480845,6,2092,0.059527,34.8667,-22846,-8520,-3628,,,,,0.0829911,-18,-6,-4396,0.026492,,,,-16,-109,12,-0.130656,-0.019356,-22825,128,-22846,174856,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893791,8949056683,90291038239480845,6,2092,0.059527,34.8667,-22870,-8544,-3632.8,,,,,0.0829911,-18,-6,-4396,0.0265024,,,,-16,-109,12,-0.130704,-0.0193655,-22825,128,-22870,174976,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893808,8949056683,90291038239480845,6,2092,0.059527,34.8667,-22879,-8553,-3634.6,,,,,0.0829911,-18,-6,-4396,0.0265111,,,,-16,-109,12,-0.130727,-0.0193703,-22825,128,-22879,175013,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893824,8949056683,90291038239480845,6,2092,0.059527,34.8667,-22879,-8553,-3634.6,,,,,0.0829911,-18,-6,-4396,0.0265111,,,,-16,-109,12,-0.130727,-0.0193703,-22825,128,-22879,175013,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893840,8949056683,90291038239480845,6,2092,0.059527,34.8667,-22879,-8553,-3634.6,,,,,0.0829911,-18,-6,-4396,0.0265111,,,,-16,-109,12,-0.130727,-0.0193703,-22825,128,-22879,175013,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893855,8949056683,90291038239480845,6,2092,0.059527,34.8667,-22879,-8553,-3634.6,,,,,0.0829911,-18,-6,-4396,0.0265111,,,,-16,-109,12,-0.130727,-0.0193703,-22825,128,-22879,175013,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893872,8949056683,90291038239480845,6,2092,0.059527,34.8667,-22879,-8553,-3634.6,,,,,0.0829911,-18,-6,-4396,0.0265111,,,,-16,-109,12,-0.130727,-0.0193703,-22825,128,-22879,175013,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893888,8949056683,90291038239480845,6,2092,0.059527,34.8667,-22879,-8553,-3634.6,,,,,0.0829911,-18,-6,-4396,0.0265111,,,,-16,-109,12,-0.130727,-0.0193703,-22825,128,-22879,175013,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893905,8949056683,90291038239480845,6,2092,0.059527,34.8667,-22879,-8553,-3634.6,,,,,0.0829911,-18,-6,-4396,0.0265111,,,,-16,-109,12,-0.130727,-0.0193703,-22825,128,-22879,175013,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893922,8949056683,90291038239480845,6,2092,0.059527,34.8667,-22879,-8553,-3634.6,,,,,0.0829911,-18,-6,-4396,0.0265111,,,,-16,-109,12,-0.130727,-0.0193703,-22825,128,-22879,175013,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
