ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,radiant_t3_lost,dire_t3_lost,t3_adv,level_adv,lh_adv,dn_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,p_stratz,stratz_time,model
1786876622,8948509675,90291026054976535,5,1547,0.462246,25.7833,-2102,,,3,2,-1,0,0.209699,6,,-2406,-0.0336798,0,0,0,-3,-54,0,-0.0202575,,-1551,128,-2102,103764,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786876639,8948509675,90291026054976535,5,1564,0.416948,26.0667,-2874,,,4,2,-2,0,0.209699,6,,-2516,-0.0309022,0,0,0,-3,-61,0,-0.0273913,,-2608,128,-2874,104924,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786876656,8948509675,90291026054976535,5,1582,0.331763,26.3667,-4041,,,5,2,-3,0,0.209699,6,,-3147,-0.0354809,0,0,0,-3,-69,0,-0.0378452,,-3202,128,-4041,106777,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786876673,8948509675,90291026054976535,5,1599,0.319157,26.65,-3499,-1927,,5,2,-3,0,0.209699,6,,-2870,-0.0327007,0,0,0,-3,-62,0,-0.0322634,,-3694,128,-3499,108451,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786876690,8948509675,90291026054976535,5,1616,0.322290,26.9333,-4033,-1278,,5,2,-3,0,0.209699,6,,-3172,-0.0346318,0,0,0,-3,-67,0,-0.0365305,,-3517,128,-4033,110401,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786876707,8948509675,90291026054976535,5,1633,0.311891,27.2167,-4678,-1338,,5,2,-3,0,0.209699,6,,-3305,-0.0331535,0,0,0,-4,-73,0,-0.0421267,,-3928,128,-4678,111046,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786876724,8948509675,90291026054976535,5,1650,0.321993,27.5,-4671,-1101,,5,2,-3,0,0.209699,6,,-3476,-0.0357868,0,0,0,-3,-75,0,-0.0413016,,-4434,128,-4671,113095,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786876741,8948509675,90291026054976535,5,1667,0.318813,27.7833,-4703,-873,,5,2,-3,0,0.209699,6,,-3304,-0.0322159,0,0,0,-4,-78,0,-0.0412157,,-4554,128,-4703,114107,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786876758,8948509675,90291026054976535,5,1684,0.332895,28.0667,-4404,-494,,5,2,-3,0,0.209699,7,,-2878,-0.0258655,0,0,0,-2,-90,0,-0.0382557,,-4393,128,-4404,115120,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786876774,8948509675,90291026054976535,5,1700,0.321762,28.3333,-4975,-632,,5,2,-3,0,0.209699,7,,-3072,-0.0255626,0,0,0,-1,-97,0,-0.042545,,-4404,128,-4975,116935,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
