ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,radiant_t3_lost,dire_t3_lost,t3_adv,level_adv,lh_adv,dn_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,p_stratz,stratz_time,model
1786893937,8949083469,90291039014425624,5,1489,0.628843,24.8167,3367,,,1,4,3,0,0.112937,5,,-690,-0.0355061,0,0,0,0,-12,22,0.0326162,,2202,128,3367,103231,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893954,8949083469,90291039014425624,5,1506,0.607171,25.1,2569,,,1,4,3,0,0.112937,4,,-629,-0.0286584,0,0,0,0,-7,22,0.0245314,,3268,128,2569,104723,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893971,8949083469,90291039014425624,5,1523,0.667905,25.3833,3800,,,1,4,3,0,0.112937,5,,-174,-0.027315,0,0,0,1,-1,23,0.0356132,,3273,128,3800,106702,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786893987,8949083469,90291039014425624,5,1539,0.604843,25.65,2067,,,1,4,3,0,0.112937,4,,-671,-0.0252066,0,0,0,-1,-3,23,0.0190512,,3844,128,2067,108497,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786894004,8949083469,90291039014425624,5,1556,0.568269,25.9333,426,-3278,,1,4,3,0,0.112937,3,,-1837,-0.0361225,0,0,0,-3,-2,23,0.00388686,,2409,128,426,109600,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786894021,8949083469,90291039014425624,5,1573,0.572258,26.2167,425,-2769,,1,4,3,0,0.112937,3,,-1837,-0.0359084,0,0,0,-3,4,22,0.00385652,,355,128,425,110203,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786894037,8949083469,90291039014425624,5,1589,0.508233,26.4833,-1468,-5265,,1,4,3,0,0.112937,2,,-2230,-0.0309822,0,0,0,-4,3,22,-0.0130206,,-396,128,-1468,112744,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786894054,8949083469,90291039014425624,5,1606,0.498850,26.7667,-2011,-4105,,2,4,2,0,0.112937,2,,-2753,-0.0363559,0,0,0,-3,5,22,-0.0174458,,-2017,128,-2011,115271,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786894071,8949083469,90291039014425624,5,1623,0.488584,27.05,-2370,-2788,,2,4,2,0,0.112937,2,,-2833,-0.0354182,0,0,0,-3,3,22,-0.0203364,,-2332,128,-2370,116540,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786894087,8949083469,90291039014425624,5,1639,0.471453,27.3167,-2920,-3200,,2,4,2,0,0.112937,2,,-3128,-0.037161,0,0,0,-3,-4,22,-0.0249202,,-2475,128,-2920,117174,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786894104,8949083469,90291039014425624,5,1653,0.470933,27.55,-2774,-1306,,2,4,2,0,0.112937,2,,-3275,-0.0394886,0,0,0,-3,-6,22,-0.0231495,,-3033,128,-2774,119830,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
