ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,radiant_t3_lost,dire_t3_lost,t3_adv,level_adv,lh_adv,dn_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,p_stratz,stratz_time,model
1786896576,8949195856,90291041100212224,5,1113,0.873917,18.55,7150,,,1,4,3,0,0.351636,8,,2569,0.0167768,0,0,0,10,166,27,0.102754,,7282,128,7150,69584,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786896593,8949195856,90291041100212224,5,1130,0.889465,18.8333,7887,,,1,4,3,0,0.351636,8,,2662,0.013132,0,0,0,10,166,27,0.110877,,7745,128,7887,71133,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786896610,8949195856,90291041100212224,5,1147,0.888705,19.1167,7964,,,1,4,3,0,0.351636,8,,2606,0.0105985,0,0,0,10,168,27,0.109903,,8142,128,7964,72464,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786896625,8949195856,90291041100212224,5,1162,0.907428,19.3667,8353,1071,,1,4,3,0,0.351636,8,,2868,0.0146953,0,0,0,10,169,26,0.113527,,7881,128,8353,73577,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786896642,8949195856,90291041100212224,5,1179,0.944024,19.65,8806,1656,,1,5,4,0,0.351636,8,,2905,0.0117616,0,0,0,10,164,26,0.116735,,8512,128,8806,75436,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786896659,8949195856,90291041100212224,5,1196,0.936985,19.9333,8333,186,,1,5,4,0,0.351636,8,,2870,0.0138879,0,0,0,8,166,26,0.108188,,8806,128,8333,77023,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786896677,8949195856,90291041100212224,5,1213,0.926687,20.2167,8105,166,,1,5,4,0,0.351636,8,,2711,0.0113187,0,0,0,7,159,26,0.104114,,8220,128,8105,77847,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786896694,8949195856,90291041100212224,5,1230,0.939678,20.5,8881,369,,1,5,4,0,0.351636,9,,3212,0.0174055,0,0,0,8,163,26,0.112113,,8321,128,8881,79215,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786896710,8949195856,90291041100212224,5,1247,0.885477,20.7833,7756,-1186,,1,5,4,0,0.351636,8,,2820,0.0151218,0,0,0,8,155,26,0.0966865,,8045,128,7756,80218,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786896728,8949195856,90291041100212224,5,1264,0.942876,21.0667,9171,1125,,1,5,4,0,0.351636,10,,3197,0.0133771,0,0,0,10,164,26,0.11147,,7889,128,9171,82273,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786896743,8949195856,90291041100212224,5,1279,0.946609,21.3167,9545,1294,,1,5,4,0,0.351636,10,,3451,0.0165445,0,0,0,11,179,26,0.115065,,9327,128,9545,82953,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786896760,8949195856,90291041100212224,5,1297,0.947925,21.6167,10010,1253,,1,5,4,0,0.351636,10,,3695,0.0189214,0,0,0,12,182,26,0.118816,,9498,128,10010,84248,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
