ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,radiant_t3_lost,dire_t3_lost,t3_adv,level_adv,lh_adv,dn_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,p_stratz,stratz_time,model
1786907859,8949513539,90291048427693065,5,1692,0.742345,28.2,4614,,,2,4,2,0,0.42762,18,,1257,-9.07845e-05,0,0,0,6,-189,-6,0.0398349,,4163,128,4614,115828,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786907875,8949513539,90291048427693065,5,1709,0.804894,28.4833,7090,,,2,4,2,0,0.42762,21,,1640,-0.00507454,0,0,0,8,-186,-6,0.0603045,,5385,128,7090,117570,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786907892,8949513539,90291048427693065,5,1725,0.825024,28.75,7726,,,2,4,2,0,0.42762,21,,1853,-0.00437349,0,0,0,8,-173,-6,0.0651796,,6638,128,7726,118534,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786907908,8949513539,90291048427693065,5,1741,0.837881,29.0167,8580,,,2,5,3,0,0.42762,21,,1963,-0.00621183,0,0,0,8,-168,-6,0.0716696,,7635,128,8580,119716,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786907924,8949513539,90291048427693065,5,1758,0.841939,29.3,8355,3740,,2,5,3,0,0.42762,21,,1688,-0.00920953,0,0,0,8,-168,-6,0.0685887,,8265,128,8355,121813,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786907940,8949513539,90291048427693065,5,1774,0.840603,29.5667,8655,1565,,2,5,3,0,0.42762,22,,1541,-0.0127267,0,0,0,7,-170,-6,0.0702305,,9057,128,8655,123237,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786907956,8949513539,90291048427693065,5,1790,0.896633,29.8333,9817,2090,,2,6,4,0,0.42762,23,,1647,-0.0162254,0,1,1,7,-180,-6,0.0783336,,8976,128,9817,125323,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786907973,8949513539,90291048427693065,5,1806,0.884245,30.1,8725,-230,,2,6,4,0,0.42762,22,,1432,-0.014781,0,1,1,6,-185,-6,0.0690591,,9611,128,8725,126341,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786907989,8949513539,90291048427693065,5,1823,0.892807,30.3833,9553,1198,,2,6,4,0,0.42762,23,,1657,-0.0149357,0,1,1,7,-183,-6,0.0748451,,9304,128,9553,127637,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786908005,8949513539,90291048427693065,5,1839,0.891828,30.65,9487,832,,2,6,4,0,0.42762,23,,1605,-0.0153962,0,1,1,7,-184,-6,0.0740703,,9594,128,9487,128081,,,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
