ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,model
1786614552,8943235603,90290758714944520,5,884,0.891185,14.7333,6104,,,0,2,2,0,0.0224769,10,,377,-0.0517688,0.117516,,6189,128,6104,51942,5017210,10150538,live.pkl
1786614567,8943235603,90290758714944520,5,899,0.891185,14.9833,6375,,,0,2,2,0,0.0224769,10,,516,-0.048177,0.121209,,6303,128,6375,52595,5017210,10150538,live.pkl
1786614583,8943235603,90290758714944520,5,914,0.874101,15.2333,5411,,,0,2,2,0,0.0224769,9,,347,-0.0432876,0.101101,,6375,128,5411,53521,5017210,10150538,live.pkl
1786614598,8943235603,90290758714944520,5,930,0.813417,15.5,5198,,,0,2,2,0,0.0224769,9,,-19,-0.0543267,0.0956816,,5490,128,5198,54326,5017210,10150538,live.pkl
1786614613,8943235603,90290758714944520,5,945,0.794004,15.75,5065,-1039,,1,2,1,0,0.0224769,9,,-38,-0.0524365,0.090896,,4962,128,5065,55723,5017210,10150538,live.pkl
1786614628,8943235603,90290758714944520,5,960,0.665984,16,4336,-2039,,1,2,1,0,0.0224769,8,,-119,-0.0466062,0.0764026,,5083,128,4336,56752,5017210,10150538,live.pkl
1786614644,8943235603,90290758714944520,5,976,0.629745,16.2667,4045,-1366,,1,2,1,0,0.0224769,9,,-551,-0.0583425,0.0697113,,4507,128,4045,58025,5017210,10150538,live.pkl
1786614659,8943235603,90290758714944520,5,991,0.862944,16.5167,5535,337,,1,2,1,0,0.0224769,10,,-474,-0.0680049,0.0928146,,4718,128,5535,59635,5017210,10150538,live.pkl
1786614674,8943235603,90290758714944520,5,1006,0.874101,16.7667,6009,944,,1,2,1,0,0.0224769,10,,-339,-0.0663656,0.0987981,,6049,128,6009,60821,5017210,10150538,live.pkl
1786614689,8943235603,90290758714944520,5,1021,0.891185,17.0167,7178,2842,,1,2,1,0,0.0224769,11,,77,-0.0619476,0.116454,,6105,128,7178,61638,5017210,10150538,live.pkl
1786614705,8943235603,90290758714944520,5,1037,0.891185,17.2833,7027,2982,,1,2,1,0,0.0224769,11,,254,-0.0537807,0.112286,,7097,128,7027,62581,5017210,10150538,live.pkl
1786614720,8943235603,90290758714944520,5,1052,0.891185,17.5333,7380,1845,,1,2,1,0,0.0224769,12,,393,-0.0516339,0.116404,,7064,128,7380,63400,5017210,10150538,live.pkl
1786614735,8943235603,90290758714944520,5,1067,0.928315,17.7833,8535,2526,,1,2,1,0,0.0224769,13,,1004,-0.0420336,0.131144,,7330,128,8535,65081,5017210,10150538,live.pkl
1786614751,8943235603,90290758714944520,5,1082,0.928315,18.0333,8528,1350,,1,2,1,0,0.0224769,13,,964,-0.0429688,0.130366,,8570,128,8528,65416,5017210,10150538,live.pkl
1786614766,8943235603,90290758714944520,5,1098,0.928315,18.3,8586,1559,,1,2,1,0,0.0224769,13,,856,-0.0465615,0.129557,,8514,128,8586,66272,5017210,10150538,live.pkl
1786614781,8943235603,90290758714944520,5,1113,0.928315,18.55,9191,1811,,1,2,1,0,0.0224769,13,,817,-0.0522054,0.136476,,8877,128,9191,67345,5017210,10150538,live.pkl
1786614797,8943235603,90290758714944520,5,1128,0.928315,18.8,9146,611,,1,3,2,0,0.0224769,13,,573,-0.0580441,0.132805,,8713,128,9146,68868,5017210,10150538,live.pkl
1786614812,8943235603,90290758714944520,5,1144,0.949153,19.0667,9668,1140,,1,3,2,0,0.0224769,14,,845,-0.0534444,0.137858,,9219,128,9668,70130,5017210,10150538,live.pkl
1786614827,8943235603,90290758714944520,5,1159,0.949153,19.3167,10293,1707,,1,3,2,0,0.0224769,15,,891,-0.0558902,0.1439,,9637,128,10293,71529,5017210,10150538,live.pkl
1786614842,8943235603,90290758714944520,5,1174,0.949153,19.5667,10228,1037,,1,3,2,0,0.0224769,15,,849,-0.0545191,0.139723,,10550,128,10228,73202,5017210,10150538,live.pkl
1786614858,8943235603,90290758714944520,5,1189,0.979101,19.8167,10089,943,783.934,1,3,2,0,0.0224769,15,5,748,-0.0564134,0.135848,0.00360629,10151,128,10089,74267,5017210,10150538,live.pkl
1786614873,8943235603,90290758714944520,5,1205,0.960396,20.0833,9560,-108,624.51,1,3,2,0,0.0224769,15,5,559,-0.0562518,0.126733,0.00108315,9958,128,9560,75434,5017210,10150538,live.pkl
1786614888,8943235603,90290758714944520,5,1220,0.972028,20.3333,9508,-785,803.333,1,3,2,0,0.0224769,15,6,584,-0.0529105,0.123157,0.00432489,9688,128,9508,77202,5017210,10150538,live.pkl
1786614903,8943235603,90290758714944520,5,1235,0.979101,20.5833,9373,-855,821.311,1,3,2,0,0.0224769,16,7,533,-0.0521254,0.118473,0.00448357,9537,128,9373,79115,5017210,10150538,live.pkl
1786614919,8943235603,90290758714944520,5,1250,0.979101,20.8333,9584,-505,888.984,1,3,2,0,0.0224769,17,8,437,-0.0555138,0.118985,0.00552569,9337,128,9584,80548,5017210,10150538,live.pkl
1786614934,8943235603,90290758714944520,5,1266,0.979101,21.1,9066,-494,927.451,1,3,2,0,0.0224769,17,9,406,-0.0520671,0.110877,0.00675976,9583,128,9066,81766,5017210,10150538,live.pkl
1786614949,8943235603,90290758714944520,5,1281,0.979101,21.35,8874,-634,949.967,1,3,2,0,0.0224769,17,8,340,-0.0519766,0.107877,0.00750809,8875,128,8874,82260,5017210,10150538,live.pkl
1786614965,8943235603,90290758714944520,5,1296,0.950907,21.6,7924,-1449,469.967,1,3,2,0,0.0224769,17,7,209,-0.0475077,0.0948119,0.000392909,8045,128,7924,83576,5017210,10150538,live.pkl
1786614980,8943235603,90290758714944520,5,1312,0.891185,21.8667,6383,-3201,73.3333,1,3,2,0,0.0224769,16,6,-1210,-0.0699423,0.074227,-0.00481787,7227,128,6383,85993,5017210,10150538,live.pkl
1786614995,8943235603,90290758714944520,5,1327,0.874101,22.1167,6218,-2848,-188.235,1,3,2,0,0.0224769,16,5,-1332,-0.0711343,0.0717666,-0.00876227,6483,128,6218,86642,5017210,10150538,live.pkl
1786615010,8943235603,90290758714944520,5,1342,0.874101,22.3667,6415,-2459,-120.393,1,3,2,0,0.0224769,16,5,-1595,-0.0769695,0.0727563,-0.00777642,6245,128,6415,88171,5017210,10150538,live.pkl
1786615026,8943235603,90290758714944520,5,1357,0.874101,22.6167,5764,-2160,-317.902,1,3,2,0,0.0224769,16,4,-1772,-0.0758684,0.0646435,-0.0101824,6253,128,5764,89166,5017210,10150538,live.pkl
1786615041,8943235603,90290758714944520,5,1373,0.813417,22.8833,6057,-326,-485.882,1,3,2,0,0.0224769,16,3,-1849,-0.0784665,0.0668905,-0.0125988,5611,128,6057,90551,5017210,10150538,live.pkl
1786615056,8943235603,90290758714944520,5,1388,0.813417,23.1333,6315,97,-433.922,1,3,2,0,0.0224769,16,3,-1599,-0.073436,0.0685586,-0.012119,5776,128,6315,92111,5017210,10150538,live.pkl
1786615071,8943235603,90290758714944520,5,1403,0.813417,23.3833,5987,-428,-511.279,1,3,2,0,0.0224769,16,3,-1552,-0.0694755,0.0643148,-0.0128345,5911,128,5987,93089,5017210,10150538,live.pkl
1786615087,8943235603,90290758714944520,5,1419,0.891185,23.65,7697,1933,-292.941,1,3,2,0,0.0224769,16,3,-1351,-0.0718499,0.0797873,-0.0111155,5994,128,7697,96469,5017210,10150538,live.pkl
