ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,radiant_t3_lost,dire_t3_lost,t3_adv,level_adv,lh_adv,dn_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,p_stratz,stratz_time,model
1786825367,8947635620,90290997055499281,5,236,0.579233,3.93333,1866,,,0,0,0,0,-0.198513,2,,115,-0.0442381,0,0,0,2,6,2,0.120185,,1067,128,1866,15526,10220596,10223220,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786825384,8947635620,90290997055499281,5,253,0.579235,4.21667,1673,,,0,0,0,0,-0.198513,2,,37,-0.0439122,0,0,0,2,4,3,0.10015,,1746,128,1673,16705,10220596,10223220,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786825400,8947635620,90290997055499281,5,269,0.581834,4.48333,1591,,,0,0,0,0,-0.198513,2,,-29,-0.0481563,0,0,0,0,4,4,0.0914315,,1714,128,1591,17401,10220596,10223220,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786825417,8947635620,90290997055499281,5,287,0.538541,4.78333,1093,,,0,0,0,0,-0.198513,2,,-137,-0.0458417,0,0,0,1,-1,3,0.060638,,1303,128,1093,18025,10220596,10223220,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786825434,8947635620,90290997055499281,5,303,0.582805,5.05,1656,223,,0,0,0,0,-0.198513,3,,-39,-0.0477387,0,0,0,1,0,5,0.0870479,,1047,128,1656,19024,10220596,10223220,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786825451,8947635620,90290997055499281,5,321,0.593943,5.35,1579,-200,,0,0,0,0,-0.198513,3,,-100,-0.0513885,0,0,0,2,-2,7,0.0804996,,1624,128,1579,19615,10220596,10223220,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786825468,8947635620,90290997055499281,5,337,0.600471,5.61667,1907,413,,0,0,0,0,-0.198513,4,,-165,-0.0623945,0,0,0,1,0,9,0.0915902,,1549,128,1907,20821,10220596,10223220,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786825485,8947635620,90290997055499281,5,354,0.603867,5.9,1856,489,,0,0,0,0,-0.198513,4,,-31,-0.0465458,0,0,0,0,1,10,0.0861493,,1837,128,1856,21544,10220596,10223220,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786825502,8947635620,90290997055499281,5,371,0.601888,6.18333,1805,142,,0,0,0,0,-0.198513,4,,58,-0.0369331,0,0,0,1,-2,9,0.081398,,1791,128,1805,22175,10220596,10223220,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786825519,8947635620,90290997055499281,5,388,0.575988,6.46667,1646,104,,0,0,0,0,-0.198513,4,,9,-0.0368383,0,0,0,1,-9,9,0.0722944,,1597,128,1646,22768,10220596,10223220,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
